FECHA CORTA,close,Rendimiento Simple,Rendimiento Logaritmico,,,,,,
10/10/2024,60274.49806,-0.005077,-0.00509,,,,,,
11/10/2024,62445.08861,0.036012,0.035378,,,,,,
12/10/2024,63193.02307,0.011977,0.011906,,,,,,
13/10/2024,62851.37492,-0.005406,-0.005421,,,,,,
14/10/2024,66046.12807,0.05083,0.049581,,,,,,
15/10/2024,67041.10717,0.015065,0.014953,,,,,,
16/10/2024,67612.72078,0.008526,0.00849,,,,,,
17/10/2024,67399.83349,-0.003149,-0.003154,,,,,,
18/10/2024,68418.78905,0.015118,0.015005,,,,,,
19/10/2024,68362.73311,-0.000819,-0.00082,,,,,,
20/10/2024,69001.70662,0.009347,0.009303,,,,,,
21/10/2024,67367.85256,-0.023678,-0.023963,,,,,,
22/10/2024,67361.40266,-0.000096,-0.000096,,,,,,
23/10/2024,66432.19825,-0.013794,-0.01389,,,,,,
24/10/2024,68161.05334,0.026024,0.025691,,,,,,
25/10/2024,66642.41073,-0.02228,-0.022532,,,,,,
26/10/2024,67014.69773,0.005586,0.005571,,,,,,
27/10/2024,67929.2988,0.013648,0.013555,,,,,,
28/10/2024,69907.75467,0.029125,0.028709,,,,,,
29/10/2024,72720.49357,0.040235,0.039447,,,,,,
30/10/2024,72339.54218,-0.005239,-0.005252,,,,,,
31/10/2024,70215.18563,-0.029366,-0.029806,,,,,,
01/11/2024,69482.46985,-0.010435,-0.01049,,,,,,
02/11/2024,69289.27667,-0.00278,-0.002784,,,,,,
03/11/2024,68741.11549,-0.007911,-0.007943,,,,,,
04/11/2024,67811.50914,-0.013523,-0.013616,,,,,,
05/11/2024,69359.56617,0.022829,0.022572,,,,,,
06/11/2024,75639.07795,0.090536,0.086669,,,,,,
07/11/2024,75904.85846,0.003514,0.003508,,,,,,
08/11/2024,76545.47664,0.00844,0.008404,,,,,,
09/11/2024,76778.86775,0.003049,0.003044,,,,,,
10/11/2024,80474.1856,0.048129,0.047007,,,,,,
11/11/2024,88701.48808,0.102235,0.09734,,,,,,
12/11/2024,87955.80982,-0.008407,-0.008442,,,,,,
13/11/2024,90584.16667,0.029883,0.029445,,,,,,
14/11/2024,87250.43127,-0.036803,-0.037497,,,,,,
15/11/2024,91066.00696,0.043731,0.042802,,,,,,
16/11/2024,90558.47524,-0.005573,-0.005589,,,,,,
17/11/2024,89845.85121,-0.007869,-0.0079,,,,,,
18/11/2024,90542.644,0.007755,0.007726,,,,,,
19/11/2024,92343.79205,0.019893,0.019698,,,,,,
20/11/2024,94339.49503,0.021612,0.021381,,,,,,
21/11/2024,98504.72759,0.044152,0.043205,,,,,,
22/11/2024,98997.66208,0.005004,0.004992,,,,,,
23/11/2024,97777.27976,-0.012327,-0.012404,,,,,,
24/11/2024,98013.82091,0.002419,0.002416,,,,,,
25/11/2024,93102.29521,-0.050111,-0.05141,,,,,,
26/11/2024,91985.31683,-0.011997,-0.01207,,,,,,
27/11/2024,95962.52842,0.043237,0.042329,,,,,,
28/11/2024,95652.46516,-0.003231,-0.003236,,,,,,
29/11/2024,97461.52371,0.018913,0.018736,,,,,,
30/11/2024,96449.05581,-0.010388,-0.010443,,,,,,
01/12/2024,97279.79292,0.008613,0.008576,,,,,,
02/12/2024,95865.30163,-0.01454,-0.014647,,,,,,
03/12/2024,96002.16214,0.001428,0.001427,,,,,,
04/12/2024,98768.52756,0.028816,0.028408,,,,,,
05/12/2024,96593.57227,-0.022021,-0.022267,,,,,,
06/12/2024,99920.71473,0.034445,0.033865,,,,,,
07/12/2024,99923.33662,0.000026,0.000026,,,,,,
08/12/2024,101236.0131,0.013137,0.013051,,,,,,
09/12/2024,97432.72126,-0.037569,-0.038292,,,,,,
10/12/2024,96675.43354,-0.007772,-0.007803,,,,,,
11/12/2024,101173.0326,0.046523,0.045473,,,,,,
12/12/2024,100042.9979,-0.011169,-0.011232,,,,,,
13/12/2024,101459.2544,0.014156,0.014057,,,,,,
14/12/2024,101372.9661,-0.00085,-0.000851,,,,,,
15/12/2024,104298.6958,0.028861,0.028452,,,,,,
16/12/2024,106029.7206,0.016597,0.016461,,,,,,
17/12/2024,106140.5982,0.001046,0.001045,,,,,,
18/12/2024,100041.5427,-0.057462,-0.059179,,,,,,
19/12/2024,97490.94998,-0.025495,-0.025826,,,,,,
20/12/2024,97755.93016,0.002718,0.002714,,,,,,
21/12/2024,97224.72634,-0.005434,-0.005449,,,,,,
22/12/2024,95104.93437,-0.021803,-0.022044,,,,,,
23/12/2024,94686.23944,-0.004402,-0.004412,,,,,,
24/12/2024,98676.0974,0.042138,0.041274,,,,,,
25/12/2024,99299.19275,0.006315,0.006295,,,,,,
26/12/2024,95795.5166,-0.035284,-0.035922,,,,,,
27/12/2024,94164.86035,-0.017022,-0.017169,,,,,,
28/12/2024,95163.93193,0.01061,0.010554,,,,,,
29/12/2024,93530.22844,-0.017167,-0.017316,,,,,,
30/12/2024,92643.2146,-0.009484,-0.009529,,,,,,
31/12/2024,93429.20281,0.008484,0.008448,,,,,,
01/01/2025,94419.75751,0.010602,0.010546,,,,,,
02/01/2025,96886.87827,0.026129,0.025794,,,,,,
03/01/2025,98107.42876,0.012598,0.012519,,,,,,
04/01/2025,98236.22909,0.001313,0.001312,,,,,,
05/01/2025,98314.95944,0.000801,0.000801,,,,,,
06/01/2025,102078.0856,0.038276,0.037562,,,,,,
07/01/2025,96922.70528,-0.050504,-0.051824,,,,,,
08/01/2025,95043.52346,-0.019388,-0.019579,,,,,,
09/01/2025,92484.03697,-0.02693,-0.027299,,,,,,
10/01/2025,94701.45646,0.023976,0.023693,,,,,,
11/01/2025,94566.59368,-0.001424,-0.001425,,,,,,
12/01/2025,94488.44106,-0.000826,-0.000827,,,,,,
13/01/2025,94516.52563,0.000297,0.000297,,,,,,
14/01/2025,96534.04421,0.021346,0.021121,,,,,,
15/01/2025,100504.4934,0.04113,0.040307,,,,,,
16/01/2025,99756.9091,-0.007438,-0.007466,,,,,,
17/01/2025,104462.0426,0.047166,0.046087,,,,,,
18/01/2025,104408.0673,-0.000517,-0.000517,,,,,,
19/01/2025,101089.6065,-0.031784,-0.0323,,,,,,
20/01/2025,102016.6623,0.009171,0.009129,,,,,,
21/01/2025,106146.263,0.04048,0.039682,,,,,,
22/01/2025,103653.0692,-0.023488,-0.023769,,,,,,
23/01/2025,103960.1716,0.002963,0.002958,,,,,,
24/01/2025,104819.4845,0.008266,0.008232,,,,,,
25/01/2025,104714.6454,-0.001,-0.001001,,,,,,
26/01/2025,102682.497,-0.019407,-0.019597,,,,,,
27/01/2025,102087.6913,-0.005793,-0.00581,,,,,,
28/01/2025,101332.4762,-0.007398,-0.007425,,,,,,
29/01/2025,103703.2112,0.023396,0.023126,,,,,,
30/01/2025,104735.3028,0.009952,0.009903,,,,,,
31/01/2025,102405.0271,-0.022249,-0.0225,,,,,,
01/02/2025,100655.9057,-0.01708,-0.017228,,,,,,
02/02/2025,97688.9793,-0.029476,-0.029919,,,,,,
03/02/2025,101405.4231,0.038044,0.037338,,,,,,
04/02/2025,97871.81783,-0.034846,-0.035468,,,,,,
05/02/2025,96615.44454,-0.012837,-0.01292,,,,,,
06/02/2025,96593.30033,-0.000229,-0.000229,,,,,,
07/02/2025,96529.08249,-0.000665,-0.000665,,,,,,
